Date,Close,Open,High,Low,Volume,ChangePercent,Ticker,Return,Average,Volatility,LogReturn
2024-06-10,84591.0,85746.0,86901.0,84303.0,232900,-2.01,SCS,-1.3470016094045203,85602.0,2598.0,-0.013561559753329178
2024-06-11,82282.0,84495.0,84495.0,81512.0,549900,-2.73,SCS,-2.6190898869755608,83003.5,2983.0,-0.026539989281888055
2024-06-12,83052.0,82282.0,83437.0,81993.0,276700,0.94,SCS,0.9358061301378187,82715.0,1444.0,0.009314545914827832
2024-06-13,84110.0,83052.0,84688.0,83052.0,104400,1.27,SCS,1.273900688725136,83870.0,1636.0,0.012658548326619723
2024-06-14,83340.0,84399.0,84880.0,82763.0,202800,-0.92,SCS,-1.2547542032488537,83821.5,2117.0,-0.012626927196180304
2024-06-17,82282.0,83437.0,83437.0,82089.0,169000,-1.27,SCS,-1.3842779582199742,82763.0,1348.0,-0.013939484334350993
2024-06-18,82474.0,82378.0,83437.0,82186.0,52400,0.23,SCS,0.11653596834106192,82811.5,1251.0,0.0011646811788992295
2024-06-19,82763.0,82763.0,82763.0,81416.0,98400,0.35,SCS,0.0,82089.5,1347.0,0.0
2024-06-20,82186.0,81801.0,82763.0,81801.0,47100,-0.7,SCS,0.4706543929780809,82282.0,962.0,0.004695502782109173
2024-06-21,86420.0,82667.0,87575.0,81801.0,372700,5.15,SCS,4.539901048786094,84688.0,5774.0,0.04439864075697919
2024-06-24,88537.0,87478.0,90269.0,86612.0,459700,2.45,SCS,1.2105900912229361,88440.5,3657.0,0.012033210560536745
2024-06-25,87767.0,88537.0,92387.0,87094.0,394500,-0.87,SCS,-0.8696928967550289,89740.5,5293.0,-0.008734967963164308
2024-06-26,86612.0,87094.0,87190.0,85265.0,318900,-1.32,SCS,-0.553425035019634,86227.5,1925.0,-0.005549621050096931
2024-06-27,84688.0,86227.0,86612.0,84688.0,177400,-2.22,SCS,-1.784823779094715,85650.0,1924.0,-0.018009438567293756
2024-06-28,82763.0,84688.0,85458.0,82570.0,178700,-2.27,SCS,-2.2730493104099754,84014.0,2888.0,-0.022992813499438824
2024-07-01,83052.0,82763.0,83822.0,82282.0,106600,0.35,SCS,0.34918985537015335,83052.0,1540.0,0.0034858160315334175
2024-07-02,84014.0,83244.0,84206.0,83052.0,73500,1.16,SCS,0.9249915909855365,83629.0,1154.0,0.009207397431469033
2024-07-03,85650.0,83533.0,86035.0,83533.0,150300,1.95,SCS,2.5343277507093003,84784.0,2502.0,0.025027461407216123
2024-07-04,85265.0,86035.0,86516.0,85265.0,84800,-0.45,SCS,-0.8949845992909862,85890.5,1251.0,-0.008990136440242935
2024-07-05,84303.0,86420.0,86420.0,83918.0,167000,-1.13,SCS,-2.4496644295302015,85169.0,2502.0,-0.02480167894057317
2024-07-08,86035.0,85458.0,86420.0,84976.0,181600,2.05,SCS,0.6751854712256313,85698.0,1444.0,0.006729163024616014
2024-07-09,86227.0,87863.0,87960.0,86131.0,166200,0.22,SCS,-1.8619896884923117,87045.5,1829.0,-0.018795429512822537
2024-07-10,84688.0,86997.0,86997.0,84688.0,157000,-1.79,SCS,-2.6541145096957366,85842.5,2309.0,-0.02689972018578679
2024-07-11,84880.0,85169.0,85458.0,83822.0,169200,0.23,SCS,-0.3393253413800796,84640.0,1636.0,-0.003399023554898406
2024-07-12,84880.0,84976.0,84976.0,84014.0,164300,0.0,SCS,-0.1129730747505178,84495.0,962.0,-0.001130369374315876
2024-07-15,84399.0,84880.0,85169.0,84206.0,76000,-0.57,SCS,-0.5666823751178134,84687.5,963.0,-0.0056829411152392595
2024-07-16,85554.0,84495.0,86131.0,84206.0,147000,1.37,SCS,1.2533285993254037,85168.5,1925.0,0.012455394513249729
2024-07-17,84688.0,85650.0,88056.0,84591.0,579000,-1.01,SCS,-1.123175715119673,86323.5,3465.0,-0.011295309654496322
2024-07-18,85650.0,86131.0,86516.0,84784.0,127500,1.14,SCS,-0.5584516608422054,85650.0,1732.0,-0.005600168319991994
2024-07-19,84399.0,86709.0,86709.0,84206.0,233200,-1.46,SCS,-2.664083313150884,85457.5,2503.0,-0.027002131436887566
